年,月日(曜日),競馬場,開催回,日目,重賞グレード,重賞名
2025,01/05（日）,中京,1,1,Ｇ３,京都金杯
2025,01/05（日）,中山,1,1,Ｇ３,中山金杯
2025,01/06（月）,中京,1,2,―,万葉ステークス
2025,01/06（月）,中山,1,2,―,サンライズステークス
2025,01/11（土）,中京,1,3,―,すばるステークス
2025,01/11（土）,中山,1,3,―,迎春ステークス
2025,01/12（日）,中京,1,4,―,淀短距離ステークス
2025,01/12（日）,中山,1,4,Ｇ３,フェアリーステークス
2025,01/13（月）,中京,1,5,Ｇ３,シンザン記念
2025,01/13（月）,中山,1,5,―,ニューイヤーステークス
2025,01/18（土）,中京,1,6,―,遠江ステークス
2025,01/18（土）,中山,1,6,―,カーバンクルステークス
2025,01/19（日）,中京,1,7,Ｇ２,日経新春杯
2025,01/19（日）,中山,1,7,Ｇ３,京成杯
2025,01/25（土）,中京,1,8,―,瀬戸ステークス
2025,01/25（土）,中山,1,8,―,初富士ステークス
2025,01/25（土）,小倉,1,1,Ｇ３,小倉牝馬ステークス
2025,01/26（日）,中京,1,9,Ｇ２,プロキオンステークス
2025,01/26（日）,中山,1,9,Ｇ２,アメリカＪＣＣ
2025,01/26（日）,小倉,1,2,―,壇之浦ステークス
2025,02/01（土）,京都,1,1,―,舞鶴ステークス
2025,02/01（土）,小倉,1,3,―,巌流島ステークス
2025,02/01（土）,東京,1,1,―,白富士ステークス
2025,02/02（日）,京都,1,2,Ｇ３,シルクロードＳ
2025,02/02（日）,小倉,1,4,―,門司ステークス
2025,02/02（日）,東京,1,2,Ｇ３,根岸ステークス
2025,02/08（土）,小倉,1,5,―,豊前ステークス
2025,02/08（土）,東京,1,3,―,早春ステークス
2025,02/09（日）,京都,1,4,Ｇ３,きさらぎ賞
2025,02/09（日）,小倉,1,6,―,小倉日経賞
2025,02/09（日）,東京,1,4,Ｇ３,東京新聞杯
2025,02/10（月）,京都,1,3,―,―
2025,02/15（土）,京都,1,5,―,洛陽ステークス
2025,02/15（土）,小倉,1,7,ＪＧ３,小倉ジャンプステークス
2025,02/15（土）,東京,1,5,Ｇ３,クイーンカップ
2025,02/16（日）,京都,1,6,Ｇ２,京都記念
2025,02/16（日）,小倉,1,8,―,北九州短距離ステークス
2025,02/16（日）,東京,1,6,Ｇ３,共同通信杯
2025,02/22（土）,京都,1,7,Ｇ３,阪急杯
