kettou,url
エアグルーヴ,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/airgroove_icon.png
エアメサイア,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/airmessiah_icon.png
エアシャカール,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/airshakur_icon.png
アーモンドアイ,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/almondeye_icon.png
アストンマーチャン,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/astonmachan_icon.png
バンブーメモリー,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/bamboomemory_icon.png
ビリーヴ,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/believe_icon.png
ビコーペガサス,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/bikopegasus_icon.png
ビワハヤヒデ,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/biwahayahide_icon.png
ブラストワンピース,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/blastonepiece_icon.png
バブルガムフェロー,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/bubblegumfellow_icon.png
ブエナビスタ,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/buenavista_icon.png
カルストンライトオ,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/calstonelighto_icon.png
シーザリオ,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/cesario_icon.png
シュヴァルグラン,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/chevalgrand_icon.png
クロノジェネシス,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/chronogenesis_icon.png
コパノリッキー,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/copanorickey_icon.png
カレンブーケドール,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/currenbouquetdor_icon.png
カレンチャン,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/currenchan_icon.png
ダイイチルビー,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/daiichiruby_icon.png
ダイタクヘリオス,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/daitakuhelios_icon.png
ダイワスカーレット,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/daiwascarlet_icon.png
ダンツフレーム,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/dantsuflame_icon.png
ダーリンハート,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/daringheart_icon.png
デアリングタクト,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/daringtact_icon.png
ドリームジャーニー,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/dreamjourney_icon.png
ドゥラメンテ,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/duramente_icon.png
デュランダル,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/durandal_icon.png
エイシンフラッシュ,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/eishinflash_icon.png
エルコンドルパサー,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/elcondorpasa_icon.png
エスポワールシチー,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/espoircity_icon.png
フェノーメノ,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/fenomeno_icon.png
